lemma	pos	year_first_occ	borrowed
коллекция	N	1755	True
колли	N	1895	True
коллизионный	OTHER	1985	True
коллизия	N	1830	True
коллоидный	OTHER	1865	True
коллоквиум	N	1870	True
коло	N	1690	N/A
колобок	N	1850	False
колобродить	V	1765	False
коловерть	N	1910	False
коловорот	N	1830	False
коловращение	N	1800	False
колода	N	1735	N/A
колодезный	OTHER	1735	N/A
колодец	N	1740	N/A
колодка	N	1675	N/A
колодки	N	1765	False
колодник	N	1690	N/A
колодочный	OTHER	1920	False
колок	N	1755	False
колокол	N	1675	N/A
колоколенка	N	1850	False
колоколенный	OTHER	1925	False
колоколец	N	1715	N/A
колоколить	V	1890	False
колокольный	OTHER	1745	N/A
колокольня	N	1675	N/A
колокольчатый	OTHER	1870	False
колокольчик	N	1700	N/A
колон	N	1745	True
колониализм	N	1945	True
колониальный	OTHER	1805	True
колонизатор	N	1840	True
колонизация	N	1815	True
колонизировать	V	1840	True
колонийский	OTHER	1910	False
колонист	N	1765	True
колонистка	N	1855	True
колония	N	1745	True
колонка	N	1770	True
колонковый	OTHER	1845	True
колонна	N	1745	True
колоннада	N	1745	True
колонновидный	OTHER	1995	True
колонновожатый	N	1805	True
колонный	OTHER	1745	True
колонок	N	1855	True
колоночка	N	1915	True
колонуть	V	1825	True
колоратура	N	1880	True
колоратурный	OTHER	1885	True
колорирование	N	1995	True
колорист	N	1785	True
колористически	OTHER	1930	True
колористический	OTHER	1915	True
колорит	N	1775	True
колоритный	OTHER	1840	True
колос	N	1735	N/A
колосистый	OTHER	1840	False
колосник	N	1840	False
колосовидный	OTHER	1915	False
колосовой	OTHER	1770	False
колосок	N	1765	False
колосс	N	1745	True
колоссально	OTHER	1825	True
колоссальный	OTHER	1775	True
колоссянин	N	1745	N/A
колотить	V	1750	False
колотун	N	1915	False
колотушка	N	1715	N/A
колотый	OTHER	1840	False
колоть	V	1690	N/A
колотьба	N	1875	False
колошматить	V	1875	False
колпак	N	1715	N/A
колпачковый	OTHER	1955	False
колпачок	N	1835	False
колтушский	OTHER	1970	False
колун	N	1885	False
колупать	V	1855	False
колхоз	N	1915	False
колхозник	N	1905	False
колхозница	N	1910	False
колхозничек	N	1950	False
колхозный	OTHER	1915	False
колчан	N	1770	False
колченогий	OTHER	1805	False
колыбель	N	1715	N/A
колыбельный	OTHER	1760	False
колымага	N	1770	False
колымский	OTHER	1815	False
колымчанин	N	1835	False
колыхание	N	1815	False
колыханье	N	1845	False
колыхать	V	1810	False
колыхаться	V	1825	False
колыхнуть	V	1850	False
колышек	N	1785	False
коль	N	1860	False
коль	OTHER	1700	N/A
колье	N	1675	True
кольнуть	V	1750	False
кольт	N	1865	True
кольцевание	N	1915	False
кольцевой	OTHER	1870	False
кольцеобразный	OTHER	1840	False
кольцо	N	1690	N/A
кольцовский	OTHER	1830	False
кольчатый	OTHER	1820	False
кольчико	N	1930	False
кольчуга	N	1765	False
колючесть	N	1855	False
колючий	OTHER	1740	N/A
колючка	N	1780	False
колюшка	N	1825	False
колющий	OTHER	1745	N/A
коляда	N	1795	False
коляска	N	1675	N/A
колясочка	N	1775	False
колясочник	N	1955	False
ком	N	1725	N/A
кома	N	1790	True
команда	N	1675	True
команданте	N	1865	True
командарм	N	1910	True
командир	N	1690	True
командирование	N	1710	True
командировать	V	1690	True
командировка	N	1780	True
командировочка	N	1955	True
командировочные	N	1900	True
командировочный	OTHER	1890	True
командирский	OTHER	1690	True
командирша	N	1825	True
командно-административный	OTHER	1965	True
командный	OTHER	1825	True
командование	N	1780	True
командовать	V	1675	True
командор	N	1690	True
командорский	OTHER	1690	True
командорство	N	1835	True
командровать	V	1690	True
командующий	N	1675	True
командующий	OTHER	1690	True
команч	N	1895	True
комар	N	1740	N/A
комарик	N	1840	False
комариный	OTHER	1840	False
комат	N	1890	True
комбайн	N	1920	True
комбайнер	N	1925	True
комбат	N	1905	True
комбед	N	1915	True
комбижир	N	1935	True
комбикорм	N	1950	True
комбинат	N	1910	True
комбинатор	N	1905	True
комбинаторика	N	1960	True
комбинаторный	OTHER	1900	True
комбинационный	OTHER	1885	True
комбинация	N	1780	True
комбинашка	N	1960	True
комбинезон	N	1925	True
комбинезонный	OTHER	2000	True
комбинирование	N	1875	True
комбинированный	OTHER	1865	True
комбинировать	V	1840	True
комбриг	N	1915	True
комвзвод	N	1920	True
комедиант	N	1710	True
комедиантство	N	1885	True
комедийный	OTHER	1855	True
комедиограф	N	1925	True
комедия	N	1710	True
комелек	N	1875	False
комель	N	1750	False
комендант	N	1675	True
комендантский	OTHER	1710	True
комендатский	OTHER	1745	True
комендатура	N	1910	True
комендор	N	1850	True
комент	N	2000	True
комераж	N	1825	True
комет	N	1990	True
комета	N	1735	True
кометообразный	OTHER	1915	True
коми	N	1805	False
коми	OTHER	1845	False
коми-пермяцкий	OTHER	1940	False
комизм	N	1800	True
комик	N	1745	True
комиковать	V	1960	True
комикс	N	1845	True
комильфо	OTHER	1835	True
комильфотный	OTHER	1850	True
коминтерновец	N	1920	True
коминтерновский	OTHER	1920	True
комиссар	N	1710	True
комиссариат	N	1740	True
комиссарить	V	1915	True
комиссарский	OTHER	1770	True
комиссарство	N	1750	True
комиссионер	N	1760	True
комиссионка	N	1930	True
комиссионные	N	1840	True
комиссионный	OTHER	1815	True
комиссия	N	1690	True
комиссовать	V	1950	True
комитаджия	N	1905	True
комитет	N	1770	True
комитетский	OTHER	1800	True
комический	OTHER	1730	True
комично	OTHER	1850	True
комичный	OTHER	1850	True
комкать	V	1825	False
комкон	N	1970	True
комкон	OTHER	1995	True
комкор	N	1910	True
комментарий	N	1730	True
комментатор	N	1815	True
комментаторский	OTHER	1885	True
комментирование	N	1845	True
комментировать	V	1820	True
комментироваться	V	1850	True
коммерс	N	1900	True
коммерсант	N	1820	True
коммерцбанк	N	1995	True
коммерциализация	N	1965	True
коммерциализировать	V	1990	True
коммерция	N	1715	True
коммерчески	OTHER	1905	True
коммерческий	OTHER	1755	True
комми	N	1830	True
коммивояжер	N	1860	True
коммисар	N	1770	True
коммисия	N	1690	True
коммодор	N	1850	True
коммуна	N	1840	True
коммуналка	N	1935	True
коммунально-бытовой	OTHER	1925	True
коммунальность	N	1980	True
коммунальный	OTHER	1825	True
коммунальщик	N	1925	True
коммунар	N	1865	True
коммунарский	OTHER	1865	True
коммунизм	N	1835	True
коммуникабельность	N	1965	True
коммуникабельный	OTHER	1960	True
коммуникативный	OTHER	1915	True
коммуникатор	N	1985	True
коммуникационный	OTHER	1805	True
коммуникация	N	1690	True
коммунист	N	1830	True
коммунистический	OTHER	1830	True
коммунистка	N	1865	True
коммутатор	N	1875	True
коммутационный	OTHER	1965	True
коммутация	N	1960	True
коммутировать	V	1885	True
коммюнике	N	1890	True
коммюнотарность	N	1940	True
комната	N	1675	N/A
комнатенка	N	1895	False
комнатешка	N	1915	False
комнатка	N	1735	N/A
комнатный	OTHER	1675	N/A
комнатушка	N	1895	False
комод	N	1735	True
комодик	N	1840	True
комок	N	1780	False
комочек	N	1780	False
комп	N	1820	True
компакт	N	1930	True
компакт-диск	N	1960	True
компакт-кассета	N	1990	True
компактвэн	N	1995	True
компактификация	N	1980	True
компактно	OTHER	1830	True
компактность	N	1840	True
компактный	OTHER	1830	True
компанейский	OTHER	1715	True
компанейство	N	1865	True
компания	N	1675	True
компаньон	N	1820	True
компаративист	N	1940	True
компаративистика	N	1990	True
компаративный	OTHER	1950	True
компаратор	N	1895	True
компарация	N	1985	True
компартия	N	1915	True
компас	N	1690	True
компашка	N	1945	True
компендий	N	1890	True
компендиум	N	1885	True
компенсаторный	OTHER	1875	True
компенсационный	OTHER	1885	True
компенсация	N	1845	True
компенсировать	V	1865	True
компенсироваться	V	1890	True
компенсирующий	OTHER	1865	True
компетентно	OTHER	1860	True
компетентность	N	1835	True
компетентный	OTHER	1820	True
компетенция	N	1845	True
компилировать	V	1855	True
компилятивный	OTHER	1840	True
компилятор	N	1835	True
компиляция	N	1835	True
комплекс	N	1845	True
комплексирование	N	1970	True
комплексированный	OTHER	1995	True
комплексно	OTHER	1930	True
комплексность	N	1920	True
комплексный	OTHER	1845	True
комплексовать	V	1970	True
комплексон	N	1960	True
комплексообразователь	N	1960	True
комплект	N	1755	True
комплектация	N	1820	True
комплектность	N	1915	True
комплектование	N	1830	True
комплектовать	V	1805	True
комплектоваться	V	1770	True
комплектующий	N	1885	True
комплекция	N	1830	True
комплемент	N	1690	True
комплементарный	OTHER	1960	True
комплимент	N	1690	True
комплиментарный	OTHER	1835	True
комплиментище	N	1935	True
композ	N	1950	True
композит	N	1745	True
композитор	N	1800	True
композиторский	OTHER	1870	True
композиторша	N	1930	True
композиционный	OTHER	1905	True
композиция	N	1750	True
комполка	N	1915	True
компонент	N	1875	True
компонента	N	1875	True
компонентный	OTHER	1985	True
компоновать	V	1710	True
компоновка	N	1875	True
компоновочный	OTHER	1970	True
компост	N	1855	True
компостер	N	1920	True
компостировать	V	1940	True
компостный	OTHER	1900	True
компот	N	1820	False
компрачикос	N	1890	True
компресс	N	1805	True
компрессия	N	1915	True
компрессор	N	1890	True
компромат	N	1960	True
компроматный	OTHER	1990	True
компрометация	N	1860	True
компрометировать	V	1795	True
компромисс	N	1830	True
компромиссность	N	1990	True
компромиссный	OTHER	1900	True
компьютер	N	1945	True
компьютеризация	N	1970	True
компьютеризированный	OTHER	1990	True
компьютеризовать	V	1985	True
компьютерный	OTHER	1960	True
компьютерщик	N	1960	True
комрад	N	1920	True
комрот	N	1920	True
комсомол	N	1915	False
комсомолец	N	1910	False
комсомолия	N	1920	False
комсомолка	N	1915	False
комсомольский	OTHER	1915	False
комсорг	N	1920	True
комсостав	N	1915	False
комсоставский	N	1920	False
комсоставский	OTHER	1935	False
комтруд	N	1910	True
комфорт	N	1805	True
комфортабельно	OTHER	1835	True
комфортабельный	OTHER	1835	True
комфортно	OTHER	1845	True
комфортный	OTHER	1840	True
комфут	N	1915	True
комчванство	N	1920	True
кон	N	1730	True
конармеец	N	1920	True
конбаза	N	1970	True
конвалоглюкозид	N	1960	True
конвариантный	OTHER	1960	True
конвеер	N	1920	True
конвейер	N	1920	True
конвейерный	OTHER	1920	True
конвекция	N	1895	True
конвент	N	1775	True
конвенциональность	N	1930	True
конвенциональный	OTHER	1915	True
конвенция	N	1690	True
конвергенция	N	1865	True
конверсионный	OTHER	1925	True
конверсия	N	1885	True
конверт	N	1690	True
конвертация	N	1985	True
конвертик	N	1855	True
конвертировать	V	1855	True
конвертируемость	N	1965	True
конвертируемый	OTHER	1965	True
конвертный	OTHER	1825	True
конвоир	N	1875	True
конвоировать	V	1810	True
конвой	N	1690	True
конвойный	N	1760	True
конвойный	OTHER	1765	True
конвульсия	N	1780	True
конгениальность	N	1905	True
конгениальный	OTHER	1900	True
конгломерат	N	1835	True
конголезец	N	1955	False
конгрегация	N	1820	True
конгресс	N	1690	True
конгрессмен	N	1930	True
конгруэнтный	OTHER	1835	True
кондачок	N	1855	False
кондей	N	1850	True
конденсат	N	1920	True
конденсатор	N	1790	True
конденсация	N	1845	True
конденсировать	V	1875	True
кондитер	N	1780	True
кондитерская	N	1815	True
кондитерский	OTHER	1810	True
кондиционер	N	1945	True
кондиционирование	N	1940	True
кондиционировать	V	1950	True
кондиционный	OTHER	1920	True
кондиция	N	1690	True
кондишен	N	1965	True
кондишн	N	1955	True
кондовость	N	1965	False
кондовый	OTHER	1805	False
кондоминиум	N	1910	True
кондуит	N	1875	True
кондуктор	N	1690	True
кондукторша	N	1910	True
коневник	N	1900	False
коневодство	N	1835	False
конек	N	1775	False
конец	N	1675	N/A
конечно	OTHER	1675	N/A
конечность	N	1760	False
конечный	OTHER	1675	N/A
конина	N	1745	N/A
конический	OTHER	1735	True
конка	N	1855	False
конквистадорский	OTHER	1925	True
конкистадор	N	1920	True
конклав	N	1835	True
конкорд	N	1905	True
конкретизация	N	1900	True
конкретизировать	V	1900	True
конкретика	N	1955	True
конкретно	OTHER	1850	True
конкретность	N	1850	True
конкретный	OTHER	1825	True
конкреция	N	1885	True
конкур	N	1905	True
конкурент	N	1845	True
конкурентка	N	1890	True
конкурентный	OTHER	1890	True
конкурентоспособность	N	1910	True
конкурентоспособный	OTHER	1960	True
конкуренция	N	1840	True
конкурировать	V	1855	True
конкурс	N	1815	True
конкурсант	N	1905	True
конкурсный	OTHER	1830	True
конник	N	1755	False
конница	N	1675	N/A
конногвардеец	N	1805	True
конногвардейский	OTHER	1780	True
конноегерец	N	1990	True
коннозаводчик	N	1845	False
коннотация	N	1960	True
конный	N	1675	N/A
конный	OTHER	1675	N/A
коновал	N	1675	N/A
коновозчик	N	1930	False
коновязь	N	1765	False
коногон	N	1905	False
коногонка	N	1950	False
конокрад	N	1825	False
конопатенький	OTHER	1925	False
конопатить	V	1765	False
конопатый	OTHER	1870	False
конопля	N	1675	N/A
коноплянка	N	1780	False
конопляный	OTHER	1735	N/A
конопушка	N	1920	False
конотопский	OTHER	1845	False
конпания	N	1810	True
консалтинг	N	1985	True
консалтинговый	OTHER	1990	True
консенсус	N	1915	True
консервант	N	1960	True
консервативный	OTHER	1840	True
консерватизм	N	1845	True
консерватор	N	1835	True
консерватория	N	1790	True
консерваторка	N	1865	True
консерваторский	OTHER	1835	True
консервационный	OTHER	1960	True
консервация	N	1905	True
консервирование	N	1880	True
консервированный	OTHER	1895	True
консервировать	V	1870	True
консервный	OTHER	1865	True
консервы	N	1835	True
консилиум	N	1690	True
консистентный	OTHER	1960	True
консистенция	N	1845	True
консистория	N	1725	True
конский	OTHER	1675	N/A
консолидация	N	1915	True
консолидированный	OTHER	1840	True
консолидировать	V	1860	True
консоль	N	1845	True
консоме	N	1865	True
консонантизм	N	1915	True
консорциум	N	1900	True
конспект	N	1825	True
конспективный	OTHER	1895	True
конспектировать	V	1890	True
конспиративность	N	1875	True
конспиративный	OTHER	1875	True
конспиратор	N	1845	True
конспирация	N	1840	True
конспирирование	N	1925	True
константа	N	1840	True
константный	OTHER	1850	True
констатация	N	1845	True
констатировать	V	1840	True
констелляция	N	1825	True
конституировать	V	1855	True
конституционалист	N	1855	True
конституциональный	OTHER	1815	True
конституционность	N	1900	True
конституционный	OTHER	1805	True
конституция	N	1780	True
конструирование	N	1900	True
конструировать	V	1895	True
конструктивизм	N	1915	True
конструктивист	N	1910	True
конструктивистский	OTHER	1915	True
конструктивно	OTHER	1910	True
конструктивный	OTHER	1895	True
конструктор	N	1895	True
конструкторский	OTHER	1905	True
конструкторско-технологический	OTHER	1960	True
конструкционный	OTHER	1945	True
конструкция	N	1780	True
консул	N	1735	True
консульский	OTHER	1745	True
консульство	N	1750	True
консультант	N	1840	True
консультативный	OTHER	1905	True
консультационный	OTHER	1905	True
консультация	N	1800	True
консультирование	N	1920	True
консультировать	V	1885	True
консьерж	N	1845	True
консьержка	N	1870	True
контакт	N	1845	True
контактировать	V	1775	True
контактный	OTHER	1880	True
контактовый	OTHER	1915	True
контактор	N	1930	True
контаминация	N	1905	True
контачить	V	1920	True
контейнер	N	1915	True
контейнерный	OTHER	1950	True
контейнеровоз	N	1965	True
контекст	N	1875	True
контекстный	OTHER	1935	True
контекстуальный	OTHER	1945	True
контент	N	1710	True
контент-анализ	N	1970	True
контентный	OTHER	2000	True
контингент	N	1855	True
континент	N	1820	True
континентальный	OTHER	1815	True
континуум	N	1905	True
контора	N	1715	True
конторка	N	1800	True
конторский	OTHER	1765	True
конторщик	N	1810	True
контр-адмирал	N	1690	True
контра	N	1690	True
контрабанда	N	1800	True
контрабандист	N	1815	True
контрабандный	OTHER	1780	True
контрабас	N	1780	True
контрабасист	N	1800	True
контраверза	N	1990	True
контрагент	N	1850	True
контрадикция	N	1900	True
контракт	N	1710	True
контрактник	N	1980	True
контрактный	OTHER	1830	True
контральто	N	1800	True
контрамарка	N	1825	True
контрапункт	N	1840	True
контраргумент	N	1950	True
контрасекс	N	1990	True
контраст	N	1770	True
контрастировать	V	1875	True
контрастно	OTHER	1900	True
контрастность	N	1865	True
контрастный	OTHER	1910	True
контратака	N	1810	True
контратаковать	V	1915	True
контрафакт	N	1995	True
контрафактный	OTHER	1985	True
контрацептив	N	1965	True
контрацептивный	OTHER	1965	True
контрацепция	N	1980	True
контрвыпад	N	1975	True
контргайка	N	1920	True
контргарантия	N	1990	True
контрибуция	N	1690	True
контрик	N	1915	True
контрмера	N	1920	True
контрнаступление	N	1910	True
контроверза	N	1835	True
контролер	N	1780	True
контролерша	N	1895	True
контролировать	V	1840	True
контролироваться	V	1850	True
контролируемый	OTHER	1865	True
контроллер	N	1930	True
контроль	N	1825	True
контрольно-измерительный	OTHER	1930	True
контрольно-кассовый	OTHER	1990	True
контрольно-ревизионный	OTHER	1915	True
контрольный	OTHER	1805	True
контрпредложение	N	1885	True
контрпример	N	1960	True
контрпродуктивный	OTHER	1990	True
контрпропаганда	N	1915	True
контрразведка	N	1910	True
контрразведчик	N	1910	True
контрреволюционер	N	1905	True
контрреволюционный	OTHER	1885	True
контрреволюция	N	1830	True
контрреплика	N	1990	True
контрреформа	N	1975	True
контртезис	N	1945	True
контртеррористический	OTHER	1990	True
контрудар	N	1910	True
контрфорс	N	1770	True
контры	N	1690	True
контуженый	OTHER	1825	True
контузить	V	1810	True
контузия	N	1780	True
контумакс	N	1980	True
контур	N	1780	True
контурный	OTHER	1905	True
конунг	N	1830	True
конура	N	1740	N/A
конурка	N	1780	False
конус	N	1740	True
конусный	OTHER	1810	True
конусовидный	OTHER	1835	True
конусообразный	OTHER	1810	True
конфедерат	N	1690	True
конфедерация	N	1690	True
конферанс	N	1835	True
конферансье	N	1905	True
конференц-зал	N	1855	True
конференция	N	1690	True
конферировать	V	1900	True
конфессиональный	OTHER	1875	True
конфессия	N	1915	True
конфета	N	1800	True
конфетка	N	1820	True
конфетный	OTHER	1825	True
конфеточка	N	1875	True
конфетти	N	1845	True
конфигурационный	OTHER	1920	True
конфигурация	N	1880	True
конфиденциально	OTHER	1830	True
конфиденциальность	N	1870	True
конфиденциальный	OTHER	1845	True
конфискация	N	1715	True
конфисковать	V	1715	True
конфисковывать	V	1885	True
конфитюр	N	1960	True
конфликт	N	1800	True
конфликтность	N	1970	True
конфликтный	OTHER	1915	True
конфликтовать	V	1935	True
конфорка	N	1835	True
конформизм	N	1935	True
конформист	N	1960	True
конформный	OTHER	1965	True
конфронтация	N	1950	True
конфуз	N	1830	True
конфузить	V	1835	True
конфузия	N	1690	True
конфузливый	OTHER	1855	True
конфуцианец	N	1845	False
конфуцианство	N	1840	True
концевой	OTHER	1845	False
концентрат	N	1915	True
концентратор	N	1895	True
концентрационный	OTHER	1895	True
концентрация	N	1840	True
концентрированный	OTHER	1840	True
концентрировать	V	1805	True
концентрироваться	V	1845	True
концентрический	OTHER	1805	True
концепт	N	1715	True
концептуализация	N	1965	True
концептуализм	N	1900	True
концептуалист	N	1900	True
концептуальность	N	1970	True
концептуальный	OTHER	1945	True
концепция	N	1840	True
концерн	N	1915	True
концерт	N	1690	True
концертант	N	1875	True
концертик	N	1860	True
концертино	N	1870	True
концертировать	V	1870	True
концертмейстер	N	1890	True
концертный	OTHER	1785	True
концессионер	N	1865	True
концессия	N	1850	True
концлагерь	N	1915	True
концовка	N	1875	False
кончать	V	1690	N/A
кончаться	V	1725	N/A
кончая	OTHER	1690	N/A
кончено	OTHER	1760	False
конченый	OTHER	1745	N/A
кончик	N	1735	N/A
кончина	N	1710	N/A
кончить	V	1745	N/A
кончиться	V	1710	N/A
конъюнктивит	N	1885	True
конъюнктивный	OTHER	1970	True
конъюнктура	N	1870	True
конъюнктурность	N	1950	True
конъюнктурный	OTHER	1920	True
конъюнктурщик	N	1945	True
конъюнктурщина	N	1945	True
конъюнкция	N	1825	True
конь	N	1675	N/A
конькобежец	N	1870	False
конькобежка	N	1950	False
конькобежный	OTHER	1895	False
коньяк	N	1800	True
коньячишко	N	1880	True
коньячный	OTHER	1885	True
коньячок	N	1850	True
конюк	N	1870	False
конюх	N	1675	N/A
конюховка	N	1965	False
конюшенный	N	1735	N/A
конюшенный	OTHER	1675	N/A
конюшня	N	1690	N/A
коняга	N	1860	False
коняшка	N	1850	False
кооператив	N	1895	True
кооперативный	OTHER	1855	True
кооператор	N	1885	True
кооперация	N	1860	True
кооперирование	N	1915	True
кооперировать	V	1915	True
кооптировать	V	1895	True
координата	N	1830	True
координатный	OTHER	1895	True
координатор	N	1935	True
координационный	OTHER	1940	True
координация	N	1865	True
координировать	V	1840	True
копа	N	1715	N/A
копалка	N	1715	N/A
копание	N	1715	N/A
копанье	N	1825	False
копать	V	1675	N/A
копаться	V	1795	False
копеечка	N	1815	False
копеечный	OTHER	1805	False
копейка	N	1675	N/A
копер	N	1730	N/A
копешка	N	1905	False
копи	N	1720	True
копиист	N	1715	True
копилка	N	1855	False
копилочка	N	1855	False
копир	N	1930	True
копирайтер	N	1990	True
копирка	N	1900	True
копирование	N	1755	True
копировать	V	1755	True
копировщик	N	1850	True
копировщица	N	1940	True
копить	V	1720	N/A
копия	N	1690	True
копка	N	1715	N/A
копна	N	1675	N/A
копнить	V	1855	False
копнуть	V	1750	False
копотный	OTHER	1860	False
копоть	N	1755	False
копошение	N	1910	False
копошенье	N	1880	False
копошить	V	1890	False
копошиться	V	1805	False
копринус	N	1980	True
копрофагия	N	1995	True
коптеть	V	1755	False
коптилка	N	1855	False
коптить	V	1735	N/A
копулятивный	OTHER	1905	True
копустка	N	1920	False
копуша	N	1920	False
копф	N	1865	True
копчение	N	1740	N/A
копченость	N	1925	False
копченый	OTHER	1675	N/A
копчик	N	1730	N/A
копчиковый	OTHER	1890	False
копчушка	N	1880	False
копытить	V	1900	False
копытное	N	1910	False
копыто	N	1740	N/A
копытце	N	1825	False
копь	N	1690	N/A
копье	N	1675	N/A
копьеметалка	N	1965	False
копьеметатель	N	1915	False
кор	N	1950	False
кор	OTHER	1690	N/A
кора	N	1735	N/A
корабельный	OTHER	1675	N/A
корабельщик	N	1735	N/A
кораблевождение	N	1905	False
кораблекрушение	N	1755	False
кораблеобразный	OTHER	2000	False
кораблестроение	N	1755	False
кораблестроительный	OTHER	1780	False
кораблик	N	1780	False
корабль	N	1675	N/A
коралл	N	1765	True
коралловый	OTHER	1790	True
коран	N	1785	False
коранический	OTHER	1990	False
корвалол	N	1965	True
корвет	N	1795	True
кордебалет	N	1825	True
кордебалетный	OTHER	1845	True
кордиамин	N	1960	True
кордный	OTHER	1870	True
кордон	N	1765	True
коревой	OTHER	1985	False
кореевед	N	1995	True
кореец	N	1845	False
корежить	V	1855	False
коренастенький	OTHER	1885	False
коренастый	OTHER	1805	False
коренить	V	1895	False
корениться	V	1770	False
коренник	N	1780	False
коренной	N	1795	False
коренной	OTHER	1725	N/A
корень	N	1690	N/A
коренья	N	1725	N/A
кореопсис	N	1995	True
кореспонд	N	1905	True
кореферентность	N	1970	True
кореш	N	1920	False
корешковый	OTHER	1845	False
корешок	N	1740	N/A
кореянка	N	1865	False
корж	N	1825	False
коржик	N	1830	False
корзина	N	1745	N/A
корзинка	N	1775	False
корзиночка	N	1840	False
кориандр	N	1740	True
коридор	N	1765	True
коридорная	N	1845	True
коридорный	N	1850	True
коридорный	OTHER	1840	True
коридорчик	N	1840	True
коринфянин	N	1710	N/A
корить	V	1725	N/A
корифей	N	1785	True
корица	N	1725	N/A
коричневато-зеленый	OTHER	1915	False
коричневатый	OTHER	1840	False
коричневый	OTHER	1755	False
корка	N	1710	N/A
корковый	OTHER	1775	False
корм	N	1675	N/A
корма	N	1690	N/A
кормежка	N	1850	False
кормежный	OTHER	1850	False
кормилец	N	1710	N/A
кормилица	N	1740	N/A
кормило	N	1720	N/A
кормить	V	1675	N/A
кормление	N	1740	N/A
кормленый	OTHER	1830	False
кормный	OTHER	1795	False
кормовой	OTHER	1675	N/A
кормоцех	N	1945	True
кормушка	N	1880	False
кормчий	N	1710	N/A
корневище	N	1845	False
корневищный	OTHER	1935	False
корневой	OTHER	1780	False
корнеклубень	N	1990	False
корнепластика	N	1995	True
корнеплод	N	1875	False
корнесловие	N	1840	False
корнет	N	1690	True
корнцанг	N	1870	True
короб	N	1715	N/A
коробить	V	1825	False
коробка	N	1720	N/A
коробление	N	1825	False
коробок	N	1825	False
коробочка	N	1775	False
коробочный	OTHER	1875	False
коробчатый	OTHER	1915	False
коробчик	N	1985	False
корова	N	1715	N/A
коровай	N	1675	N/A
коровенка	N	1770	False
коровий	OTHER	1735	N/A
коровка	N	1765	False
коровник	N	1765	False
короед	N	1900	False
королева	N	1690	N/A
королевич	N	1745	N/A
королевна	N	1750	False
королевский	OTHER	1675	N/A
королевство	N	1675	N/A
королевствовать	V	1880	False
королек	N	1755	False
король	N	1675	N/A
коромысел	N	1855	False
коромысло	N	1730	N/A
корона	N	1690	True
коронарный	OTHER	1950	True
коронационный	OTHER	1780	True
коронация	N	1720	True
коронка	N	1785	True
коронный	OTHER	1690	True
коронование	N	1715	True
короновать	V	1690	True
короста	N	1740	N/A
коростяной	OTHER	1780	False
коротать	V	1780	False
коротенький	OTHER	1745	N/A
коротить	V	1755	False
короткий	OTHER	1690	N/A
короткобазник	N	1990	True
коротковатый	OTHER	1835	False
коротковолновый	OTHER	1920	False
коротковолосый	OTHER	1900	False
короткозамкнутый	OTHER	1920	False
короткометражка	N	1940	True
коротконогий	OTHER	1780	False
коротконосый	OTHER	1815	False
короткопалый	OTHER	1905	False
короткопризматический	OTHER	1995	True
короткоствольный	OTHER	1820	False
короткофокусный	OTHER	1895	True
коротыш	N	1850	False
коротышка	N	1875	False
короче	OTHER	1725	N/A
корочка	N	1825	False
корпеть	V	1800	False
корпоратив	N	2000	True
корпоративность	N	1855	True
корпоративный	OTHER	1840	True
корпорация	N	1825	True
корпус	N	1675	True
корпусирование	N	2005	True
корпускула	N	1935	True
корпусной	OTHER	1790	True
корпусный	OTHER	1770	True
корр	N	1975	True
корректив	N	1855	True
корректива	N	1855	True
корректировать	V	1855	True
корректировка	N	1925	True
корректировочный	OTHER	1935	True
корректировщик	N	1925	True
корректно	OTHER	1885	True
корректность	N	1885	True
корректный	OTHER	1875	True
корректор	N	1750	True
корректорский	OTHER	1955	True
корректура	N	1750	True
корректурный	OTHER	1750	True
коррекционный	OTHER	1920	True
коррекция	N	1915	True
коррелировать	V	1925	True
корреляционный	OTHER	1950	True
корреляция	N	1915	True
корресп	N	1805	True
корресподент	N	1920	True
корреспондент	N	1735	True
корреспондентка	N	1790	True
корреспондентский	OTHER	1865	True
корреспонденция	N	1690	True
корреспондировать	V	1860	True
корригировать	V	1915	True
коррида	N	1840	True
корродированный	OTHER	1970	True
корродировать	V	1930	True
коррозионный	OTHER	1940	True
коррозия	N	1900	True
коррумпированность	N	1990	True
коррумпированный	OTHER	1930	True
коррумпировать	V	1920	True
коррупционер	N	1985	True
коррупционный	OTHER	1980	True
коррупция	N	1905	True
корс	N	1730	True
корсар	N	1805	True
корсет	N	1780	True
корсеть	N	1995	True
корсиканец	N	1775	False
корсунец	N	1745	N/A
корсчет	N	1985	True
корт	N	1855	True
кортеж	N	1750	True
кортик	N	1735	True
кортикальный	OTHER	1880	True
корточки	N	1800	False
корча	N	1825	False
корчага	N	1745	N/A
корчеватель	N	1950	False
корчевать	V	1865	False
корчить	V	1750	False
корчиться	V	1760	False
корчма	N	1690	N/A
коршун	N	1760	False
коршуний	OTHER	1855	False
корыстный	OTHER	1720	N/A
корыстолюбивый	OTHER	1755	False
корыстолюбие	N	1760	False
корысть	N	1705	N/A
корытинский	OTHER	1995	False
корытник	N	1850	False
корыто	N	1735	N/A
корытце	N	1775	False
корь	N	1775	False
корюшка	N	1800	False
корябать	V	1915	False
корявый	OTHER	1770	False
коряга	N	1790	False
коряжина	N	1895	False
коряжка	N	1895	False
корякский	OTHER	1855	False
коса	N	1690	N/A
